,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,rsi_7,rsi_14,rsi_21,macd,macds,macdh,return_1d,momentum_1d,return_5d,momentum_5d,return_10d,momentum_10d,return_20d,momentum_20d,return_60d,momentum_60d,return_120d,momentum_120d,roc_10d,roc_20d,volatility_10d,realized_vol_10d,volatility_20d,realized_vol_20d,volatility_60d,realized_vol_60d,atr_14,atr_20,sharpe_ratio_20d,sharpe_ratio_60d,sortino_ratio_20d,sortino_ratio_60d,calmar_ratio_20d,calmar_ratio_60d,trend_strength,momentum_factor,bb_lower,bb_middle,bb_upper,bb_width,bb_pct,adx_14,plus_di,minus_di,stoch_k,stoch_d,score
TXN,207.5539978027344,208.6673765209075,199.98299865722657,203.44768089410385,195.94449996948242,200.43137889290452,206.68980041503906,199.61952865507155,92.98535666684506,76.68602895797595,61.17139431527356,2.038041508234386,-1.1688523294903157,3.2068938377247016,-0.11628988974250465,-0.11628988974250465,10.19141022629395,10.19141022629395,11.02321062083018,11.02321062083018,12.986052238610046,12.986052238610046,13.896990992353043,13.896990992353043,22.36722188034581,22.36722188034581,11.023210620830183,12.986052238610043,37.07914427677121,121.74018627148442,31.832007949730386,143.98683313999095,36.12572024869295,274.34873802950153,5.832537874465828,5.857516561226566,4.997016849692112,1.6884001015384908,13.261446861016314,3.7923199899253506,10.167935028144484,3.4426886987071414,100.0,16.16477863262797,179.44704719826197,195.94449996948242,212.44195274070287,0.16838903642398603,1.0693453413252876,31.905556757088814,45.684863062803736,15.8228988001859,95.03343093261385,96.12419478473703,1.4700956725758583
DELL,179.12000122070313,178.45578576265197,173.99500122070313,175.22470101417966,168.30449981689452,168.00263545952657,144.555,152.4660257019207,71.77444796869493,62.968695195358144,64.8337814869775,9.904814291065094,9.973092848925106,-0.0682785578600118,-2.016975381181707,-2.016975381181707,1.9670860988813654,1.9670860988813654,1.1261492691715613,1.1261492691715613,18.60449516932259,18.60449516932259,48.58766305391533,48.58766305391533,17.507108532538297,17.507108532538297,1.1261492691715542,18.604495169322576,46.272751928113195,138.58191667548516,54.0567095153595,241.10894728486954,68.11612085826496,511.425375116718,8.306538881964407,8.289867363321077,4.248260870193914,2.769485255823582,9.820189174250842,6.035177550356596,21.256220303910105,5.780347161743686,100.0,30.268546332124398,145.81074658482453,168.30449981689452,190.7982530489645,0.26729829869720517,0.7110697831726295,27.646658187371322,32.908798873094476,21.42140486982834,77.07220157846687,78.93431612140661,1.3546541629600688
ON,66.55999984741212,66.76430417776395,63.31199951171875,64.7889908341228,61.88699951171875,63.347500829862256,63.743799667358395,62.342084084946244,99.85182037147763,69.32894478332791,65.25121040861762,1.221705757184786,0.08568968792722043,1.1360160692575656,0.233616100306544,0.233616100306544,10.387527000837583,10.387527000837583,12.781341761974051,12.781341761974051,18.998098734735834,18.998098734735834,15.55294008112893,15.55294008112893,29.601661211680906,29.601661211680906,12.78134176197404,18.998098734735837,75.65434273280088,228.29261335169423,57.71544049275893,252.76189852167082,49.816222894033025,379.5300517535062,2.736511908345216,2.764191304814577,4.079284261797791,1.4616456550994,9.75732223594059,2.870642236795678,12.445794604333882,3.1769637337020376,100.0,20.80110401637659,54.96591643244666,61.88699951171875,68.80808259099084,0.22366839995083393,0.9885797451568408,21.42724915398461,43.182817637822744,21.421925305047225,95.04981376955949,94.42776991856577,1.3036687897211066
NTRS,149.11000366210936,149.40650758404374,144.0000030517578,146.03879280911858,140.59050064086915,143.37993819045386,143.5316003417969,142.30294664177615,97.02816526189896,79.39393477830411,65.89954369187745,2.2803516987141563,0.32675292707128534,1.9535987716428709,-0.2620776665640312,-0.2620776665640312,7.015814219711114,7.015814219711114,10.327584027570659,10.327584027570659,10.873992967176482,10.873992967176482,4.805504803813476,4.805504803813476,22.204379947400852,22.204379947400852,10.327584027570659,10.87399296717649,26.36271921694239,92.54898322655478,23.117669867853508,106.41126033191716,29.829384006798403,228.56639737753602,3.694928955854968,3.8151113581756424,5.74938636880483,0.8071582422790206,14.006780233027579,1.4440349048366148,15.421809049237252,1.870107036271961,100.0,11.84571379589859,129.01862037371606,140.59050064086915,152.16238090802224,0.1646182382793107,1.0029215139612508,29.30744949018359,38.41376210288326,14.724946457992512,97.68688062534342,95.5633484009599,1.2944852616929052
NFLX,100.44000091552735,100.64265192091818,97.89600143432617,98.68277679506998,95.59949989318848,96.3944681876193,89.69899978637696,93.50436990409773,91.42513056586527,80.32521488431024,66.6666771064542,2.745366408665319,2.1163343219605886,0.6290320867047305,0.9407144103521059,0.9407144103521059,4.4090799844473505,4.4090799844473505,10.383628882441664,10.383628882441664,9.224901710162282,9.224901710162282,14.050047037515046,14.050047037515046,-12.968172148336643,-12.968172148336643,10.383628882441673,9.22490171016228,24.44451300460877,87.65575592760814,26.367526294275102,118.8455201028891,41.30301238399269,309.2104270426212,2.8070987562545344,2.8259937700750846,4.350904054608628,1.533608841655297,8.145088220428466,3.5797298150677785,13.790348796787708,1.8903387975768793,100.0,4.497037683553711,88.66434394728266,95.59949989318848,102.5346558390943,0.14508770346402103,1.034270772052126,48.42867744979419,37.98844555191686,7.682255501034329,88.86522881023045,78.93654560104109,1.1333460324293463
ERIC,11.736000061035156,11.76069384242732,11.519000053405762,11.63893416180963,11.528999996185302,11.526344603346303,11.327799987792968,11.192261442804458,85.05753300323701,66.35514768370611,55.614977489193386,0.14163630226526713,0.10506228063464518,0.036574021630621956,-0.1680630649618875,-0.1680630649618875,2.2375235063896604,2.2375235063896604,3.8461586555659233,3.8461586555659233,4.028021322888242,4.028021322888242,26.3829850697207,26.3829850697207,25.316462954579745,25.316462954579745,3.8461586555659193,4.028021322888234,26.60978911369553,81.85488817818688,32.88911871154934,143.9588856848043,31.310269689696348,241.74519136067713,0.316311158187479,0.3205403985188799,1.6705692975245143,3.2980834323915786,2.905744922266756,7.588022691555228,6.996531465574413,11.91595172480997,50.0,19.356539311128678,10.988750556325265,11.528999996185302,12.06924943604534,0.09372008674452154,0.824850052918657,17.10099895381681,31.176072550843298,24.93303086463759,87.94936474684148,79.55897231716064,1.039199421961182
MCHP,69.64800109863282,69.74336121165231,66.58900032043456,67.99262023519962,65.32749977111817,67.21073540103109,70.71860023498535,68.39248763437836,50.0,71.7688837295813,60.27055707096318,0.18292668781242583,-1.103405870280797,1.2863325580932228,0.4773888403020621,0.4773888403020621,9.085364669366335,9.085364669366335,11.464175950483568,11.464175950483568,14.076196526053142,14.076196526053142,-3.388689275782275,-3.388689275782275,9.502676709214985,9.502676709214985,11.464175950483563,14.076196526053142,52.17717718347848,163.17398730978147,41.43873389358502,183.90235769567514,40.33580577343901,307.4699027719464,2.77029483701939,2.797277605110021,4.210835139522964,-0.16269572860693968,10.033380636981224,-0.31224180048727346,8.039624382455688,-0.25612322252089303,100.0,5.718186260267528,59.219244704597074,65.32749977111817,71.43575483763927,0.1870040974450887,1.0101700665412165,25.428408329520884,39.31038809931476,17.115227445561217,89.45421309771676,89.82047162139948,0.9050467540092593
CSCO,82.04199981689453,81.91226006627336,80.1709991455078,81.01744002249453,79.78199996948243,80.20249560199802,79.75879974365235,79.20181564703006,80.50070564394534,62.85875227389918,58.91775545179725,0.8417360911384577,0.4241644359896861,0.4175716551487716,-1.1422351438705514,-1.1422351438705514,4.049613659300877,4.049613659300877,0.07302526280366095,0.07302526280366095,5.762803550347773,5.762803550347773,8.943951094237335,8.943951094237335,19.00420549828816,19.00420549828816,0.07302526280365751,5.7628035503477735,34.33547537698918,103.15503664573662,28.039226655251458,123.98199980076751,37.1110961521619,294.4924323458938,2.3068471454966044,2.248973546315278,2.65482308148192,1.160282867282587,4.421568971248629,1.535608118473302,11.945157270840832,3.172064839503693,100.0,11.007683152285715,75.77214041364915,79.78199996948243,83.7918595253157,0.10052040704337051,0.8040008281180394,22.061732642383536,32.17356068931895,18.91785326493855,83.4691076688466,79.96476026221406,0.7206349822682598
EA,203.4080017089844,203.07395009033772,203.26700134277343,202.95485102267128,202.0530014038086,202.38293337764418,201.23420043945313,201.7624401556401,33.62346915758886,64.5372039262964,63.47993021233888,0.666383602167059,0.5934910061221088,0.07289259604495024,0.2670665445460463,0.2670665445460463,-0.42239714369867176,-0.42239714369867176,0.4110751404094337,0.4110751404094337,1.8384587243551298,1.8384587243551298,-0.7781511885881942,-0.7781511885881942,1.1929120623103806,1.1929120623103806,0.4110751404094231,1.8384587243551287,6.309974910217892,19.069443007989147,5.035086707583169,22.899164487288385,8.202913883112602,63.31280659888069,0.9978378407020555,1.0408122099948218,4.584882083198685,-0.35938397704413444,7.3275962765498,-0.4715811114171118,17.01744941113588,-0.759396572128221,100.0,0.5981507605643754,199.04250073790107,202.0530014038086,205.06350206971612,0.02979911849852662,0.6141013016764054,37.96833712006378,23.362275877240215,23.265795963929524,67.64571237480574,80.97531242749012,0.7088201050507447
NVDA,182.07200317382814,182.9791330411574,177.05900115966796,180.08105825217052,177.420499420166,179.17584019373098,182.07779968261718,180.91513133132042,50.0,68.17249289193902,52.06022650714987,0.12722530012678135,-1.6643622014091706,1.791587501535952,2.5664733438725884,2.5664733438725884,6.336324218861211,6.336324218861211,10.15533685575749,10.15533685575749,2.9977096819158167,2.9977096819158167,1.5176833115933208,1.5176833115933208,3.751172881469733,3.751172881469733,10.155336855757488,2.997709681915819,34.37825772658104,112.51627312899117,35.29774979661042,153.66819536234385,37.73896774351696,289.1680196299835,5.206531384657843,5.291121498680668,1.2220530122554816,0.35256540319155766,2.250018783860268,0.6075980132284589,3.6901230792278485,0.8562075281471949,50.0,2.6317380936529933,166.2536543338314,177.420499420166,188.5873445065006,0.1258799870683416,1.0019101355835989,23.42380854050511,41.3892063475567,21.921832823551444,91.03128569570532,82.70868185414244,0.6776851820535074
